id,company_id,amount,status,created_at,paid_at
29,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-03-08,
30,cbf1c8b09cd5b549416d49d220a40cbd317f952e,16.47,paid,2019-03-10,2019-03-10
31,cbf1c8b09cd5b549416d49d220a40cbd317f952e,204.41,paid,2019-02-07,2019-02-07
32,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-03-14,
33,cbf1c8b09cd5b549416d49d220a40cbd317f952e,23.06,paid,2019-03-15,2019-03-15
34,cbf1c8b09cd5b549416d49d220a40cbd317f952e,133.08,pending_payment,2019-03-22,
35,cbf1c8b09cd5b549416d49d220a40cbd317f952e,300.09,voided,2019-03-22,
36,cbf1c8b09cd5b549416d49d220a40cbd317f952e,89.56,paid,2019-04-29,2019-04-29
37,cbf1c8b09cd5b549416d49d220a40cbd317f952e,78.83,voided,2019-05-02,
38,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-05-12,
39,cbf1c8b09cd5b549416d49d220a40cbd317f952e,34.69,paid,2019-04-02,2019-04-02
40,cbf1c8b09cd5b549416d49d220a40cbd317f952e,62.03,voided,2019-03-14,
41,cbf1c8b09cd5b549416d49d220a40cbd317f952e,55.75,paid,2019-03-15,2019-03-15
42,cbf1c8b09cd5b549416d49d220a40cbd317f952e,50.32,pending_payment,2019-05-05,
43,cbf1c8b09cd5b549416d49d220a40cbd317f952e,73.22,voided,2019-04-12,
44,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-16,
45,cbf1c8b09cd5b549416d49d220a40cbd317f952e,29.06,paid,2019-03-20,2019-03-20
46,cbf1c8b09cd5b549416d49d220a40cbd317f952e,239.17,paid,2019-05-15,2019-05-15
47,cbf1c8b09cd5b549416d49d220a40cbd317f952e,21.42,voided,2019-05-09,
48,cbf1c8b09cd5b549416d49d220a40cbd317f952e,171.61,paid,2019-04-04,2019-04-04
49,cbf1c8b09cd5b549416d49d220a40cbd317f952e,61.23,paid,2019-01-08,2019-01-08
50,cbf1c8b09cd5b549416d49d220a40cbd317f952e,60.54,paid,2019-03-18,2019-03-18
51,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-05,
52,cbf1c8b09cd5b549416d49d220a40cbd317f952e,19234.99,pending_payment,2019-04-08,
53,cbf1c8b09cd5b549416d49d220a40cbd317f952e,153.23,paid,2019-03-08,2019-03-08
54,cbf1c8b09cd5b549416d49d220a40cbd317f952e,55.48,paid,2019-04-24,2019-04-24
55,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-05-06,
56,cbf1c8b09cd5b549416d49d220a40cbd317f952e,55.75,paid,2019-03-01,2019-03-01
57,cbf1c8b09cd5b549416d49d220a40cbd317f952e,5.19,paid,2019-02-18,2019-02-18
58,cbf1c8b09cd5b549416d49d220a40cbd317f952e,41.61,paid,2019-03-28,2019-03-29
59,cbf1c8b09cd5b549416d49d220a40cbd317f952e,78.72,voided,2019-03-01,
60,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-05-19,
61,cbf1c8b09cd5b549416d49d220a40cbd317f952e,21.83,voided,2019-02-24,
62,cbf1c8b09cd5b549416d49d220a40cbd317f952e,62.96,paid,2019-04-16,2019-04-16
63,cbf1c8b09cd5b549416d49d220a40cbd317f952e,39.36,paid,2019-03-08,2019-03-08
64,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-31,
65,cbf1c8b09cd5b549416d49d220a40cbd317f952e,5.29,paid,2019-04-25,2019-04-25
66,cbf1c8b09cd5b549416d49d220a40cbd317f952e,186.3,voided,2019-02-22,
67,cbf1c8b09cd5b549416d49d220a40cbd317f952e,55.75,paid,2019-02-13,2019-02-13
68,cbf1c8b09cd5b549416d49d220a40cbd317f952e,134.75,paid,2019-01-05,2019-01-05
69,cbf1c8b09cd5b549416d49d220a40cbd317f952e,184.91,voided,2019-03-19,
70,cbf1c8b09cd5b549416d49d220a40cbd317f952e,143.56,voided,2019-02-12,
71,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-05-04,
72,cbf1c8b09cd5b549416d49d220a40cbd317f952e,27.87,paid,2019-03-23,2019-03-23
73,cbf1c8b09cd5b549416d49d220a40cbd317f952e,45.14,voided,2019-05-03,
74,cbf1c8b09cd5b549416d49d220a40cbd317f952e,159.79,paid,2019-05-10,2019-05-10
75,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-24,
76,cbf1c8b09cd5b549416d49d220a40cbd317f952e,91.94,paid,2019-03-18,2019-03-18
77,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-21,
78,8f642dc67fccf861548dfe1c761ce22f795e91f0,5599.0,pending_payment,2019-02-19,
79,cbf1c8b09cd5b549416d49d220a40cbd317f952e,285.0,paid,2019-03-12,2019-03-12
80,cbf1c8b09cd5b549416d49d220a40cbd317f952e,41.61,paid,2019-03-27,2019-03-27
81,cbf1c8b09cd5b549416d49d220a40cbd317f952e,160.57,paid,2019-02-12,2019-02-12
82,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-27,
83,cbf1c8b09cd5b549416d49d220a40cbd317f952e,80.6,paid,2019-05-03,2019-05-04
84,cbf1c8b09cd5b549416d49d220a40cbd317f952e,223.01,pending_payment,2019-03-28,
85,cbf1c8b09cd5b549416d49d220a40cbd317f952e,39.9,pending_payment,2019-02-14,
86,cbf1c8b09cd5b549416d49d220a40cbd317f952e,212.7,paid,2019-01-24,2019-01-24
87,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-04-30,
88,cbf1c8b09cd5b549416d49d220a40cbd317f952e,45.15,paid,2019-04-14,2019-04-14
89,cbf1c8b09cd5b549416d49d220a40cbd317f952e,210.59,paid,2019-05-16,2019-05-16
90,cbf1c8b09cd5b549416d49d220a40cbd317f952e,66.15,voided,2019-03-24,
91,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-02,
92,cbf1c8b09cd5b549416d49d220a40cbd317f952e,31.85,paid,2019-01-12,2019-01-12
93,cbf1c8b09cd5b549416d49d220a40cbd317f952e,97.14,paid,2019-03-16,2019-03-16
94,cbf1c8b09cd5b549416d49d220a40cbd317f952e,68.43,paid,2019-01-04,2019-01-04
95,cbf1c8b09cd5b549416d49d220a40cbd317f952e,54.1,paid,2019-01-14,2019-01-14
96,cbf1c8b09cd5b549416d49d220a40cbd317f952e,38.65,voided,2019-02-08,
97,cbf1c8b09cd5b549416d49d220a40cbd317f952e,82.04,paid,2019-01-12,2019-01-12
98,cbf1c8b09cd5b549416d49d220a40cbd317f952e,61.14,pending_payment,2019-04-03,
99,cbf1c8b09cd5b549416d49d220a40cbd317f952e,48.71,paid,2019-03-23,2019-03-23
100,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-21,
101,cbf1c8b09cd5b549416d49d220a40cbd317f952e,76.33,paid,2019-01-09,2019-01-09
102,cbf1c8b09cd5b549416d49d220a40cbd317f952e,47.77,paid,2019-02-02,2019-02-02
103,cbf1c8b09cd5b549416d49d220a40cbd317f952e,56.92,paid,2019-03-21,2019-03-21
104,cbf1c8b09cd5b549416d49d220a40cbd317f952e,154.96,pending_payment,2019-01-12,
105,cbf1c8b09cd5b549416d49d220a40cbd317f952e,100.81,paid,2019-04-04,2019-04-04
106,cbf1c8b09cd5b549416d49d220a40cbd317f952e,92.85,paid,2019-01-08,2019-01-08
107,cbf1c8b09cd5b549416d49d220a40cbd317f952e,126.7,paid,2019-01-08,2019-01-08
108,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-15,
109,cbf1c8b09cd5b549416d49d220a40cbd317f952e,90.58,paid,2019-05-13,2019-05-13
110,cbf1c8b09cd5b549416d49d220a40cbd317f952e,240.87,paid,2019-05-16,2019-05-16
111,cbf1c8b09cd5b549416d49d220a40cbd317f952e,165.67,paid,2019-03-19,2019-03-19
112,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-04-12,
113,cbf1c8b09cd5b549416d49d220a40cbd317f952e,15.92,pending_payment,2019-03-15,
114,cbf1c8b09cd5b549416d49d220a40cbd317f952e,207.32,paid,2019-03-23,2019-03-23
115,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-03-26,
116,cbf1c8b09cd5b549416d49d220a40cbd317f952e,108.31,paid,2019-04-01,2019-04-01
117,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-04-15,
118,cbf1c8b09cd5b549416d49d220a40cbd317f952e,115.6,voided,2019-02-27,
119,cbf1c8b09cd5b549416d49d220a40cbd317f952e,121.31,paid,2019-04-17,2019-04-17
120,cbf1c8b09cd5b549416d49d220a40cbd317f952e,38.51,voided,2019-02-17,
121,cbf1c8b09cd5b549416d49d220a40cbd317f952e,247.99,paid,2019-05-18,2019-05-18
122,cbf1c8b09cd5b549416d49d220a40cbd317f952e,75.37,paid,2019-03-15,2019-03-15
123,cbf1c8b09cd5b549416d49d220a40cbd317f952e,130.14,voided,2019-02-11,
124,cbf1c8b09cd5b549416d49d220a40cbd317f952e,74.02,paid,2019-03-20,2019-03-20
125,cbf1c8b09cd5b549416d49d220a40cbd317f952e,30.0,paid,2019-01-05,2019-01-05
126,cbf1c8b09cd5b549416d49d220a40cbd317f952e,68.71,voided,2019-03-04,
127,cbf1c8b09cd5b549416d49d220a40cbd317f952e,179.71,paid,2019-04-12,2019-04-12
128,cbf1c8b09cd5b549416d49d220a40cbd317f952e,126.5,paid,2019-01-30,2019-01-30
129,cbf1c8b09cd5b549416d49d220a40cbd317f952e,92.68,paid,2019-04-03,2019-04-03
130,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-05-18,
131,cbf1c8b09cd5b549416d49d220a40cbd317f952e,33.0,paid,2019-03-23,2019-03-24
132,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-03-04,
133,cbf1c8b09cd5b549416d49d220a40cbd317f952e,41.61,paid,2019-04-17,2019-04-17
134,cbf1c8b09cd5b549416d49d220a40cbd317f952e,240.95,pending_payment,2019-03-15,
135,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-09,
136,cbf1c8b09cd5b549416d49d220a40cbd317f952e,50.0,refunded,2019-02-20,2019-02-20
137,cbf1c8b09cd5b549416d49d220a40cbd317f952e,52.16,voided,2019-03-29,
138,cbf1c8b09cd5b549416d49d220a40cbd317f952e,47.56,paid,2019-01-21,2019-01-21
139,cbf1c8b09cd5b549416d49d220a40cbd317f952e,42.0,paid,2019-04-04,2019-04-04
140,cbf1c8b09cd5b549416d49d220a40cbd317f952e,48.04,paid,2019-03-26,2019-03-26
141,cbf1c8b09cd5b549416d49d220a40cbd317f952e,43.87,paid,2019-02-18,2019-02-18
142,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-02-14,
143,cbf1c8b09cd5b549416d49d220a40cbd317f952e,31.52,paid,2019-03-23,2019-03-23
144,cbf1c8b09cd5b549416d49d220a40cbd317f952e,66.35,paid,2019-02-20,2019-02-20
145,cbf1c8b09cd5b549416d49d220a40cbd317f952e,53.14,paid,2019-05-14,2019-05-14
146,cbf1c8b09cd5b549416d49d220a40cbd317f952e,21.37,voided,2019-05-16,
147,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-10,
148,cbf1c8b09cd5b549416d49d220a40cbd317f952e,25.88,paid,2019-02-19,2019-02-19
149,8f642dc67fccf861548dfe1c761ce22f795e91f0,7313.1,pending_payment,2019-04-02,
150,cbf1c8b09cd5b549416d49d220a40cbd317f952e,53.85,pending_payment,2019-04-04,
151,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-01,
152,cbf1c8b09cd5b549416d49d220a40cbd317f952e,34.23,pending_payment,2019-03-31,
153,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-11,
154,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-05-14,
155,cbf1c8b09cd5b549416d49d220a40cbd317f952e,159.94,paid,2019-04-29,2019-04-29
156,cbf1c8b09cd5b549416d49d220a40cbd317f952e,63.42,paid,2019-01-10,2019-01-10
157,cbf1c8b09cd5b549416d49d220a40cbd317f952e,57.33,paid,2019-03-27,2019-03-27
158,cbf1c8b09cd5b549416d49d220a40cbd317f952e,31.65,paid,2019-01-02,2019-01-03
159,cbf1c8b09cd5b549416d49d220a40cbd317f952e,109.82,paid,2019-02-14,2019-02-14
160,cbf1c8b09cd5b549416d49d220a40cbd317f952e,57.64,voided,2019-03-16,
161,cbf1c8b09cd5b549416d49d220a40cbd317f952e,98.34,voided,2019-03-02,
162,cbf1c8b09cd5b549416d49d220a40cbd317f952e,99.0,voided,2019-01-07,
163,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-20,
164,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-14,
165,cbf1c8b09cd5b549416d49d220a40cbd317f952e,44.9,paid,2019-04-04,2019-04-04
166,cbf1c8b09cd5b549416d49d220a40cbd317f952e,66.87,paid,2019-05-14,2019-05-14
167,cbf1c8b09cd5b549416d49d220a40cbd317f952e,55.75,paid,2019-01-18,2019-01-18
168,cbf1c8b09cd5b549416d49d220a40cbd317f952e,179.96,paid,2019-03-28,2019-03-28
169,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-13,
170,cbf1c8b09cd5b549416d49d220a40cbd317f952e,55.75,charged_back,2019-03-08,2019-03-08
171,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-03-31,
172,cbf1c8b09cd5b549416d49d220a40cbd317f952e,102.19,pending_payment,2019-04-03,
173,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-03-17,
174,8f642dc67fccf861548dfe1c761ce22f795e91f0,7999.0,pending_payment,2019-03-27,
175,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-03-09,
176,cbf1c8b09cd5b549416d49d220a40cbd317f952e,41.61,paid,2019-05-06,2019-05-06
177,8f642dc67fccf861548dfe1c761ce22f795e91f0,699.0,paid,2019-04-29,2019-04-29
178,cbf1c8b09cd5b549416d49d220a40cbd317f952e,56.9,paid,2019-01-17,2019-01-18
179,cbf1c8b09cd5b549416d49d220a40cbd317f952e,46.03,paid,2019-03-03,2019-03-03
180,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-02-27,
181,cbf1c8b09cd5b549416d49d220a40cbd317f952e,62.12,paid,2019-03-13,2019-03-13
182,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-02-03,
183,cbf1c8b09cd5b549416d49d220a40cbd317f952e,67.66,paid,2019-03-20,2019-03-20
184,cbf1c8b09cd5b549416d49d220a40cbd317f952e,48.83,paid,2019-02-23,2019-02-23
185,cbf1c8b09cd5b549416d49d220a40cbd317f952e,102.16,paid,2019-04-10,2019-04-10
186,cbf1c8b09cd5b549416d49d220a40cbd317f952e,320.06,paid,2019-03-14,2019-03-14
187,cbf1c8b09cd5b549416d49d220a40cbd317f952e,36.8,paid,2019-02-23,2019-02-23
188,cbf1c8b09cd5b549416d49d220a40cbd317f952e,101.78,paid,2019-03-05,2019-03-05
189,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-25,
190,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-04-06,
191,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-04-10,
192,cbf1c8b09cd5b549416d49d220a40cbd317f952e,229.85,voided,2019-05-02,
193,cbf1c8b09cd5b549416d49d220a40cbd317f952e,98.17,pre_authorized,2019-05-20,
194,cbf1c8b09cd5b549416d49d220a40cbd317f952e,76.92,charged_back,2019-01-16,2019-01-16
195,cbf1c8b09cd5b549416d49d220a40cbd317f952e,111.62,paid,2019-01-11,2019-01-11
196,cbf1c8b09cd5b549416d49d220a40cbd317f952e,209.23,paid,2019-04-05,2019-04-05
197,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-05-09,
198,cbf1c8b09cd5b549416d49d220a40cbd317f952e,134.6,pending_payment,2019-02-25,
199,cbf1c8b09cd5b549416d49d220a40cbd317f952e,72.93,paid,2019-04-01,2019-04-01
200,cbf1c8b09cd5b549416d49d220a40cbd317f952e,47.66,paid,2019-03-31,2019-04-01
201,cbf1c8b09cd5b549416d49d220a40cbd317f952e,198.4,paid,2019-02-12,2019-02-12
202,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-14,
203,cbf1c8b09cd5b549416d49d220a40cbd317f952e,61.29,pending_payment,2019-03-24,
204,cbf1c8b09cd5b549416d49d220a40cbd317f952e,106.73,paid,2019-05-08,2019-05-08
205,cbf1c8b09cd5b549416d49d220a40cbd317f952e,150.93,voided,2019-03-08,
206,cbf1c8b09cd5b549416d49d220a40cbd317f952e,17.38,paid,2019-01-27,2019-01-27
207,cbf1c8b09cd5b549416d49d220a40cbd317f952e,68.0,paid,2019-05-19,2019-05-19
208,cbf1c8b09cd5b549416d49d220a40cbd317f952e,75.92,paid,2019-04-16,2019-04-16
209,cbf1c8b09cd5b549416d49d220a40cbd317f952e,45.59,voided,2019-03-19,
210,cbf1c8b09cd5b549416d49d220a40cbd317f952e,27.08,pending_payment,2019-02-04,
211,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-11,
212,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-03-11,
213,cbf1c8b09cd5b549416d49d220a40cbd317f952e,109.13,paid,2019-03-13,2019-03-13
214,cbf1c8b09cd5b549416d49d220a40cbd317f952e,6405.97,paid,2019-01-02,2019-01-02
215,cbf1c8b09cd5b549416d49d220a40cbd317f952e,181.74,paid,2019-03-22,2019-03-22
216,cbf1c8b09cd5b549416d49d220a40cbd317f952e,52.75,paid,2019-01-14,2019-01-14
217,cbf1c8b09cd5b549416d49d220a40cbd317f952e,30.4,paid,2019-04-19,2019-04-19
218,cbf1c8b09cd5b549416d49d220a40cbd317f952e,153.2,paid,2019-01-17,2019-01-17
219,cbf1c8b09cd5b549416d49d220a40cbd317f952e,185.72,paid,2019-03-30,2019-03-30
220,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-02-08,
221,cbf1c8b09cd5b549416d49d220a40cbd317f952e,22.17,paid,2019-03-10,2019-03-10
222,cbf1c8b09cd5b549416d49d220a40cbd317f952e,83.66,paid,2019-01-09,2019-01-09
223,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-05-01,
224,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-03-19,
225,cbf1c8b09cd5b549416d49d220a40cbd317f952e,31.65,paid,2019-01-08,2019-01-08
226,cbf1c8b09cd5b549416d49d220a40cbd317f952e,87.16,voided,2019-04-15,
227,cbf1c8b09cd5b549416d49d220a40cbd317f952e,66.07,paid,2019-04-14,2019-04-14
228,cbf1c8b09cd5b549416d49d220a40cbd317f952e,49.99,pending_payment,2019-04-16,
229,cbf1c8b09cd5b549416d49d220a40cbd317f952e,32.61,voided,2019-05-04,
230,cbf1c8b09cd5b549416d49d220a40cbd317f952e,71.6,paid,2019-01-03,2019-01-03
231,cbf1c8b09cd5b549416d49d220a40cbd317f952e,68.11,paid,2019-03-19,2019-03-19
232,cbf1c8b09cd5b549416d49d220a40cbd317f952e,92.08,paid,2019-01-02,2019-01-02
233,cbf1c8b09cd5b549416d49d220a40cbd317f952e,203.61,paid,2019-05-13,2019-05-13
234,cbf1c8b09cd5b549416d49d220a40cbd317f952e,11509.46,pending_payment,2019-04-01,
235,cbf1c8b09cd5b549416d49d220a40cbd317f952e,111.9,paid,2019-04-07,2019-04-07
236,cbf1c8b09cd5b549416d49d220a40cbd317f952e,124.86,paid,2019-02-22,2019-02-22
237,cbf1c8b09cd5b549416d49d220a40cbd317f952e,164.16,voided,2019-04-09,
238,cbf1c8b09cd5b549416d49d220a40cbd317f952e,45.75,paid,2019-05-02,2019-05-02
239,cbf1c8b09cd5b549416d49d220a40cbd317f952e,40.91,voided,2019-03-01,
240,cbf1c8b09cd5b549416d49d220a40cbd317f952e,114.58,paid,2019-01-24,2019-01-24
241,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-03-29,
242,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-19,
243,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-08,
244,8f642dc67fccf861548dfe1c761ce22f795e91f0,3068.0,paid,2019-02-22,2019-02-25
245,cbf1c8b09cd5b549416d49d220a40cbd317f952e,116.83,paid,2019-03-15,2019-03-16
246,cbf1c8b09cd5b549416d49d220a40cbd317f952e,45.45,voided,2019-04-19,
247,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-05-06,
248,cbf1c8b09cd5b549416d49d220a40cbd317f952e,45.57,paid,2019-04-03,2019-04-03
249,cbf1c8b09cd5b549416d49d220a40cbd317f952e,264.75,paid,2019-01-30,2019-01-30
250,cbf1c8b09cd5b549416d49d220a40cbd317f952e,59.66,paid,2019-03-01,2019-03-02
251,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-05-07,
252,cbf1c8b09cd5b549416d49d220a40cbd317f952e,21.19,voided,2019-04-27,
253,cbf1c8b09cd5b549416d49d220a40cbd317f952e,193.58,paid,2019-05-10,2019-05-10
254,cbf1c8b09cd5b549416d49d220a40cbd317f952e,64.94,voided,2019-04-10,
255,8f642dc67fccf861548dfe1c761ce22f795e91f0,30594.0,pending_payment,2019-02-23,
256,cbf1c8b09cd5b549416d49d220a40cbd317f952e,72.05,paid,2019-02-14,2019-02-14
257,cbf1c8b09cd5b549416d49d220a40cbd317f952e,118.32,paid,2019-03-02,2019-03-03
258,cbf1c8b09cd5b549416d49d220a40cbd317f952e,34.55,voided,2019-03-02,
259,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-04-10,
260,cbf1c8b09cd5b549416d49d220a40cbd317f952e,96.11,paid,2019-01-30,2019-01-30
261,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-05-03,
262,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-01,
263,cbf1c8b09cd5b549416d49d220a40cbd317f952e,100.0,paid,2019-05-15,2019-05-15
264,cbf1c8b09cd5b549416d49d220a40cbd317f952e,107.69,paid,2019-03-13,2019-03-14
265,cbf1c8b09cd5b549416d49d220a40cbd317f952e,200.1,voided,2019-04-28,
266,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-03-07,
267,cbf1c8b09cd5b549416d49d220a40cbd317f952e,246.75,paid,2019-02-28,2019-02-28
268,cbf1c8b09cd5b549416d49d220a40cbd317f952e,61.61,paid,2019-01-16,2019-01-16
269,cbf1c8b09cd5b549416d49d220a40cbd317f952e,71.54,paid,2019-04-06,2019-04-06
270,cbf1c8b09cd5b549416d49d220a40cbd317f952e,286.98,paid,2019-05-10,2019-05-10
271,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-05-20,
272,cbf1c8b09cd5b549416d49d220a40cbd317f952e,66.16,pending_payment,2019-03-14,
273,cbf1c8b09cd5b549416d49d220a40cbd317f952e,94.45,pending_payment,2019-05-01,
274,cbf1c8b09cd5b549416d49d220a40cbd317f952e,84.4,paid,2019-01-09,2019-01-09
275,cbf1c8b09cd5b549416d49d220a40cbd317f952e,42.87,pending_payment,2019-01-03,
276,cbf1c8b09cd5b549416d49d220a40cbd317f952e,99.19,paid,2019-03-29,2019-03-29
277,cbf1c8b09cd5b549416d49d220a40cbd317f952e,111.87,paid,2019-04-16,2019-04-17
278,cbf1c8b09cd5b549416d49d220a40cbd317f952e,139.87,paid,2019-04-17,2019-04-17
279,cbf1c8b09cd5b549416d49d220a40cbd317f952e,54.78,paid,2019-01-29,2019-01-29
280,cbf1c8b09cd5b549416d49d220a40cbd317f952e,49.6,paid,2019-05-14,2019-05-14
281,cbf1c8b09cd5b549416d49d220a40cbd317f952e,54.1,pending_payment,2019-03-31,
282,cbf1c8b09cd5b549416d49d220a40cbd317f952e,78.93,paid,2019-02-28,2019-02-28
283,cbf1c8b09cd5b549416d49d220a40cbd317f952e,151.43,paid,2019-04-19,2019-04-19
284,cbf1c8b09cd5b549416d49d220a40cbd317f952e,83.38,paid,2019-03-22,2019-03-22
